votes_photo1,votes_photo2,rang_photo1,rang_photo2,ratio_photo1,ratio_photo2,votes_ratio,rang_diff,ratio_diff,votes_diff,target,nom_profil,nom_challenge
0,280,999,458,0.0,1.5,0.0,541,-1.5,-280,0,bruno,Wonder Women
279,396,459,350,1.5,1.5,0.7045454545454546,109,0.0,-117,0,bruno,Wonder Women
371,403,369,344,1.34,1.5,0.9205955334987593,25,-0.15999999999999992,-32,0,bruno,Wonder Women
326,927,412,76,1.33,1.55,0.3516720604099245,336,-0.21999999999999997,-601,0,bruno,Wonder Women
341,1203,398,11,1.51,1.49,0.28345802161263506,387,0.020000000000000018,-862,0,bruno,Wonder Women
241,295,497,443,1.5,1.5,0.8169491525423729,54,0.0,-54,0,bruno,Wonder Women
975,239,53,499,1.12,1.61,4.079497907949791,-446,-0.49,736,1,bruno,Wonder Women
88,533,700,301,0.75,1.44,0.1651031894934334,399,-0.69,-445,0,bruno,Home Sweet Home
103,476,688,330,0.75,1.17,0.21638655462184875,358,-0.41999999999999993,-373,0,bruno,Home Sweet Home
417,391,380,405,1.5,1.78,1.0664961636828645,-25,-0.28,26,1,bruno,Home Sweet Home
332,870,462,80,1.33,1.5,0.3816091954022989,382,-0.16999999999999993,-538,0,bruno,Home Sweet Home
461,314,342,480,1.64,1.5,1.4681528662420382,-138,0.1399999999999999,147,1,bruno,Home Sweet Home
371,317,423,477,1.5,1.5,1.1703470031545742,-54,0.0,54,1,bruno,Home Sweet Home
441,313,358,481,0.45,1.5,1.4089456869009584,-123,-1.05,128,1,bruno,Home Sweet Home
175,311,619,483,1.5,1.0,0.5627009646302251,136,0.5,-136,0,bruno,Home Sweet Home
46,262,454,243,2.17,1.0,0.17557251908396945,211,1.17,-216,0,bruno,My Alternative Camera
200,263,305,242,1.33,1.33,0.7604562737642585,63,0.0,-63,0,bruno,My Alternative Camera
253,248,252,257,1.28,1.5,1.0201612903225807,-5,-0.21999999999999997,5,1,bruno,My Alternative Camera
246,248,259,257,1.0,1.51,0.9919354838709677,2,-0.51,-2,0,bruno,My Alternative Camera
292,367,213,161,1.5,1.37,0.7956403269754768,52,0.1299999999999999,-75,0,bruno,My Alternative Camera
115,341,393,171,1.51,1.55,0.33724340175953077,222,-0.040000000000000036,-226,0,bruno,My Alternative Camera
237,234,268,271,1.33,1.4,1.0128205128205128,-3,-0.06999999999999984,3,1,bruno,My Alternative Camera
162,233,346,272,1.33,1.33,0.6952789699570815,74,0.0,-71,0,bruno,My Alternative Camera
0,308,999,406,0.0,1.33,0.0,593,-1.33,-308,0,bruno,Your Country
0,276,999,438,0.0,1.51,0.0,561,-1.51,-276,0,bruno,Your Country
360,381,357,339,1.33,1.33,0.9448818897637795,18,0.0,-21,0,bruno,Your Country
371,399,347,328,1.5,1.33,0.9298245614035088,19,0.16999999999999993,-28,0,bruno,Your Country
284,292,430,422,1.71,1.58,0.9726027397260274,8,0.1299999999999999,-8,0,bruno,Your Country
393,251,331,463,1.5,1.5,1.5657370517928286,-132,0.0,142,1,bruno,Your Country
532,318,288,396,1.33,1.5,1.6729559748427674,-108,-0.16999999999999993,214,1,bruno,Your Country
244,240,470,474,1.33,1.5,1.0166666666666666,-4,-0.16999999999999993,4,1,bruno,Your Country
223,375,491,343,1.33,1.5,0.5946666666666667,148,-0.16999999999999993,-152,0,bruno,Your Country
2645,727,63,1525,1.5,0.75,3.638239339752407,-1462,0.75,1918,1,bruno,Photo of the Week!
2210,2393,345,195,1.33,1.5,0.9235269536147096,150,-0.16999999999999993,-183,0,bruno,Photo of the Week!
2336,2164,241,383,1.5,1.78,1.0794824399260627,-142,-0.28,172,1,bruno,Photo of the Week!
2379,2012,208,517,1.33,1.33,1.1824055666003976,-309,0.0,367,1,bruno,Photo of the Week!
1500,2555,979,91,1.5,1.5,0.5870841487279843,888,0.0,-1055,0,bruno,Photo of the Week!
1671,1736,836,774,1.33,1.5,0.9625576036866359,62,-0.16999999999999993,-65,1,bruno,Photo of the Week!
2917,2494,11,131,1.5,1.33,1.169607056936648,-120,0.16999999999999993,423,1,bruno,Photo of the Week!
0,406,999,530,0.0,1.5,0.0,469,-1.5,-406,0,bruno,Facebook Limelight
393,499,543,447,1.5,1.18,0.7875751503006012,96,0.32000000000000006,-106,0,bruno,Facebook Limelight
316,307,620,630,1.5,2.16,1.0293159609120521,-10,-0.6600000000000001,9,1,bruno,Facebook Limelight
292,413,645,523,1.28,1.5,0.7070217917675545,122,-0.21999999999999997,-121,0,bruno,Facebook Limelight
428,445,508,491,1.33,1.51,0.9617977528089887,17,-0.17999999999999994,-17,0,bruno,Facebook Limelight
456,284,481,653,1.5,1.5,1.6056338028169015,-172,0.0,172,1,bruno,Facebook Limelight
273,879,664,91,1.33,1.5,0.310580204778157,573,-0.16999999999999993,-606,0,bruno,Facebook Limelight
0,438,999,498,0.0,1.5,0.0,501,-1.5,-438,0,bruno,Facebook Limelight
0,374,999,562,0.0,3.0,0.0,437,-3.0,-374,0,bruno,Facebook Limelight
0,1737,999,102,0.0,1.5,0.0,897,-1.5,-1737,0,bruno,Street Photography
1825,0,44,999,1.5,0.0,1825.0,-955,1.5,1825,1,bruno,Street Photography
1284,0,531,999,1.5,0.0,1284.0,-468,1.5,1284,1,bruno,Street Photography
1332,0,483,999,1.33,0.0,1332.0,-516,1.33,1332,1,bruno,Street Photography
0,1175,999,640,0.0,1.5,0.0,359,-1.5,-1175,0,bruno,Street Photography
0,1332,999,483,0.0,1.33,0.0,516,-1.33,-1332,0,bruno,Street Photography
1361,0,454,999,1.41,0.0,1361.0,-545,1.41,1361,1,bruno,Street Photography
185,41,115,259,1.5,1.33,4.512195121951219,-144,0.16999999999999993,144,0,bruno,Movement
84,222,216,78,1.33,1.39,0.3783783783783784,138,-0.05999999999999983,-138,0,bruno,Movement
117,215,183,85,1.5,1.5,0.5441860465116279,98,0.0,-98,0,bruno,Movement
80,199,220,101,1.5,1.5,0.4020100502512563,119,0.0,-119,1,bruno,Movement
185,197,115,103,1.5,1.0,0.9390862944162437,12,0.5,-12,0,bruno,Movement
99,219,201,81,1.43,2.25,0.4520547945205479,120,-0.8200000000000001,-120,0,bruno,Movement
213,178,87,122,1.41,1.5,1.196629213483146,-35,-0.09000000000000008,35,1,bruno,Movement
237,588,575,363,1.29,0.9,0.4030612244897959,212,0.39,-351,1,bruno,Demo Challenge 1
526,647,21,113,2.116,0.865,0.8129829984544049,-92,1.2510000000000001,-121,0,bruno,Demo Challenge 2
